WaterLevel(%)    GaussianHalfHeightWidth(sec.)    highPassFilterCorner(Hz)    SACFile
0.1 0.05 0.005 testRun_wl_0.1000_gauss_0.0500_hp_0.0050.sac
0.1 0.05 0.01 testRun_wl_0.1000_gauss_0.0500_hp_0.0100.sac
0.1 0.05 0.02 testRun_wl_0.1000_gauss_0.0500_hp_0.0200.sac
0.1 0.05 0.03 testRun_wl_0.1000_gauss_0.0500_hp_0.0300.sac
0.1 0.05 0.05 testRun_wl_0.1000_gauss_0.0500_hp_0.0500.sac
0.1 0.05 0.1 testRun_wl_0.1000_gauss_0.0500_hp_0.1000.sac
0.1 0.05 0.15 testRun_wl_0.1000_gauss_0.0500_hp_0.1500.sac
0.1 0.1 0.001 testRun_wl_0.1000_gauss_0.1000_hp_0.0010.sac
0.1 0.1 0.005 testRun_wl_0.1000_gauss_0.1000_hp_0.0050.sac
0.1 0.1 0.01 testRun_wl_0.1000_gauss_0.1000_hp_0.0100.sac
0.1 0.1 0.02 testRun_wl_0.1000_gauss_0.1000_hp_0.0200.sac
0.1 0.1 0.03 testRun_wl_0.1000_gauss_0.1000_hp_0.0300.sac
0.1 0.1 0.05 testRun_wl_0.1000_gauss_0.1000_hp_0.0500.sac
0.1 0.1 0.1 testRun_wl_0.1000_gauss_0.1000_hp_0.1000.sac
0.1 0.1 0.15 testRun_wl_0.1000_gauss_0.1000_hp_0.1500.sac
0.1 0.2 0.001 testRun_wl_0.1000_gauss_0.2000_hp_0.0010.sac
0.1 0.2 0.005 testRun_wl_0.1000_gauss_0.2000_hp_0.0050.sac
0.1 0.2 0.01 testRun_wl_0.1000_gauss_0.2000_hp_0.0100.sac
0.1 0.2 0.02 testRun_wl_0.1000_gauss_0.2000_hp_0.0200.sac
0.1 0.2 0.03 testRun_wl_0.1000_gauss_0.2000_hp_0.0300.sac
0.1 0.2 0.05 testRun_wl_0.1000_gauss_0.2000_hp_0.0500.sac
0.1 0.2 0.1 testRun_wl_0.1000_gauss_0.2000_hp_0.1000.sac
0.1 0.2 0.15 testRun_wl_0.1000_gauss_0.2000_hp_0.1500.sac
0.1 0.35 0.001 testRun_wl_0.1000_gauss_0.3500_hp_0.0010.sac
0.1 0.35 0.005 testRun_wl_0.1000_gauss_0.3500_hp_0.0050.sac
0.1 0.35 0.01 testRun_wl_0.1000_gauss_0.3500_hp_0.0100.sac
0.1 0.35 0.02 testRun_wl_0.1000_gauss_0.3500_hp_0.0200.sac
0.1 0.35 0.03 testRun_wl_0.1000_gauss_0.3500_hp_0.0300.sac
0.1 0.35 0.05 testRun_wl_0.1000_gauss_0.3500_hp_0.0500.sac
0.1 0.35 0.1 testRun_wl_0.1000_gauss_0.3500_hp_0.1000.sac
0.1 0.35 0.15 testRun_wl_0.1000_gauss_0.3500_hp_0.1500.sac
0.1 0.5 0.001 testRun_wl_0.1000_gauss_0.5000_hp_0.0010.sac
0.1 0.5 0.005 testRun_wl_0.1000_gauss_0.5000_hp_0.0050.sac
0.1 0.5 0.01 testRun_wl_0.1000_gauss_0.5000_hp_0.0100.sac
0.1 0.5 0.02 testRun_wl_0.1000_gauss_0.5000_hp_0.0200.sac
0.1 0.5 0.03 testRun_wl_0.1000_gauss_0.5000_hp_0.0300.sac
0.1 0.5 0.05 testRun_wl_0.1000_gauss_0.5000_hp_0.0500.sac
0.1 0.5 0.1 testRun_wl_0.1000_gauss_0.5000_hp_0.1000.sac
0.1 0.5 0.15 testRun_wl_0.1000_gauss_0.5000_hp_0.1500.sac
0.1 1 0.001 testRun_wl_0.1000_gauss_1.0000_hp_0.0010.sac
0.1 1 0.005 testRun_wl_0.1000_gauss_1.0000_hp_0.0050.sac
0.1 1 0.01 testRun_wl_0.1000_gauss_1.0000_hp_0.0100.sac
0.1 1 0.02 testRun_wl_0.1000_gauss_1.0000_hp_0.0200.sac
0.1 1 0.03 testRun_wl_0.1000_gauss_1.0000_hp_0.0300.sac
0.1 1 0.05 testRun_wl_0.1000_gauss_1.0000_hp_0.0500.sac
0.1 1 0.1 testRun_wl_0.1000_gauss_1.0000_hp_0.1000.sac
0.1 1 0.15 testRun_wl_0.1000_gauss_1.0000_hp_0.1500.sac
0.1 2 0.001 testRun_wl_0.1000_gauss_2.0000_hp_0.0010.sac
0.1 2 0.005 testRun_wl_0.1000_gauss_2.0000_hp_0.0050.sac
0.1 2 0.01 testRun_wl_0.1000_gauss_2.0000_hp_0.0100.sac
0.1 2 0.02 testRun_wl_0.1000_gauss_2.0000_hp_0.0200.sac
0.1 2 0.03 testRun_wl_0.1000_gauss_2.0000_hp_0.0300.sac
0.1 2 0.05 testRun_wl_0.1000_gauss_2.0000_hp_0.0500.sac
0.1 2 0.1 testRun_wl_0.1000_gauss_2.0000_hp_0.1000.sac
0.1 2 0.15 testRun_wl_0.1000_gauss_2.0000_hp_0.1500.sac
0.1 3 0.001 testRun_wl_0.1000_gauss_3.0000_hp_0.0010.sac
0.1 3 0.005 testRun_wl_0.1000_gauss_3.0000_hp_0.0050.sac
0.1 3 0.01 testRun_wl_0.1000_gauss_3.0000_hp_0.0100.sac
0.1 3 0.02 testRun_wl_0.1000_gauss_3.0000_hp_0.0200.sac
0.1 3 0.03 testRun_wl_0.1000_gauss_3.0000_hp_0.0300.sac
0.1 3 0.05 testRun_wl_0.1000_gauss_3.0000_hp_0.0500.sac
0.1 3 0.1 testRun_wl_0.1000_gauss_3.0000_hp_0.1000.sac
0.1 3 0.15 testRun_wl_0.1000_gauss_3.0000_hp_0.1500.sac
0.1 4 0.001 testRun_wl_0.1000_gauss_4.0000_hp_0.0010.sac
0.1 4 0.005 testRun_wl_0.1000_gauss_4.0000_hp_0.0050.sac
0.1 4 0.01 testRun_wl_0.1000_gauss_4.0000_hp_0.0100.sac
0.1 4 0.02 testRun_wl_0.1000_gauss_4.0000_hp_0.0200.sac
0.1 4 0.03 testRun_wl_0.1000_gauss_4.0000_hp_0.0300.sac
0.1 4 0.05 testRun_wl_0.1000_gauss_4.0000_hp_0.0500.sac
0.1 4 0.1 testRun_wl_0.1000_gauss_4.0000_hp_0.1000.sac
0.1 4 0.15 testRun_wl_0.1000_gauss_4.0000_hp_0.1500.sac
0.1 5 0.001 testRun_wl_0.1000_gauss_5.0000_hp_0.0010.sac
0.1 5 0.005 testRun_wl_0.1000_gauss_5.0000_hp_0.0050.sac
0.1 5 0.01 testRun_wl_0.1000_gauss_5.0000_hp_0.0100.sac
0.1 5 0.02 testRun_wl_0.1000_gauss_5.0000_hp_0.0200.sac
0.1 5 0.03 testRun_wl_0.1000_gauss_5.0000_hp_0.0300.sac
0.1 5 0.05 testRun_wl_0.1000_gauss_5.0000_hp_0.0500.sac
0.1 5 0.1 testRun_wl_0.1000_gauss_5.0000_hp_0.1000.sac
0.1 5 0.15 testRun_wl_0.1000_gauss_5.0000_hp_0.1500.sac
0.25 0.05 0.001 testRun_wl_0.2500_gauss_0.0500_hp_0.0010.sac
0.25 0.05 0.005 testRun_wl_0.2500_gauss_0.0500_hp_0.0050.sac
0.25 0.05 0.01 testRun_wl_0.2500_gauss_0.0500_hp_0.0100.sac
0.25 0.05 0.02 testRun_wl_0.2500_gauss_0.0500_hp_0.0200.sac
0.25 0.05 0.03 testRun_wl_0.2500_gauss_0.0500_hp_0.0300.sac
0.25 0.05 0.05 testRun_wl_0.2500_gauss_0.0500_hp_0.0500.sac
0.25 0.05 0.1 testRun_wl_0.2500_gauss_0.0500_hp_0.1000.sac
0.25 0.05 0.15 testRun_wl_0.2500_gauss_0.0500_hp_0.1500.sac
0.25 0.1 0.001 testRun_wl_0.2500_gauss_0.1000_hp_0.0010.sac
0.25 0.1 0.005 testRun_wl_0.2500_gauss_0.1000_hp_0.0050.sac
0.25 0.1 0.01 testRun_wl_0.2500_gauss_0.1000_hp_0.0100.sac
0.25 0.1 0.02 testRun_wl_0.2500_gauss_0.1000_hp_0.0200.sac
0.25 0.1 0.03 testRun_wl_0.2500_gauss_0.1000_hp_0.0300.sac
0.25 0.1 0.05 testRun_wl_0.2500_gauss_0.1000_hp_0.0500.sac
0.25 0.1 0.1 testRun_wl_0.2500_gauss_0.1000_hp_0.1000.sac
0.25 0.1 0.15 testRun_wl_0.2500_gauss_0.1000_hp_0.1500.sac
0.25 0.2 0.001 testRun_wl_0.2500_gauss_0.2000_hp_0.0010.sac
0.25 0.2 0.005 testRun_wl_0.2500_gauss_0.2000_hp_0.0050.sac
0.25 0.2 0.01 testRun_wl_0.2500_gauss_0.2000_hp_0.0100.sac
0.25 0.2 0.02 testRun_wl_0.2500_gauss_0.2000_hp_0.0200.sac
0.25 0.2 0.03 testRun_wl_0.2500_gauss_0.2000_hp_0.0300.sac
0.25 0.2 0.05 testRun_wl_0.2500_gauss_0.2000_hp_0.0500.sac
0.25 0.2 0.1 testRun_wl_0.2500_gauss_0.2000_hp_0.1000.sac
0.25 0.2 0.15 testRun_wl_0.2500_gauss_0.2000_hp_0.1500.sac
0.25 0.35 0.001 testRun_wl_0.2500_gauss_0.3500_hp_0.0010.sac
0.25 0.35 0.005 testRun_wl_0.2500_gauss_0.3500_hp_0.0050.sac
0.25 0.35 0.01 testRun_wl_0.2500_gauss_0.3500_hp_0.0100.sac
0.25 0.35 0.02 testRun_wl_0.2500_gauss_0.3500_hp_0.0200.sac
0.25 0.35 0.03 testRun_wl_0.2500_gauss_0.3500_hp_0.0300.sac
0.25 0.35 0.05 testRun_wl_0.2500_gauss_0.3500_hp_0.0500.sac
0.25 0.35 0.1 testRun_wl_0.2500_gauss_0.3500_hp_0.1000.sac
0.25 0.35 0.15 testRun_wl_0.2500_gauss_0.3500_hp_0.1500.sac
0.25 0.5 0.001 testRun_wl_0.2500_gauss_0.5000_hp_0.0010.sac
0.25 0.5 0.005 testRun_wl_0.2500_gauss_0.5000_hp_0.0050.sac
0.25 0.5 0.01 testRun_wl_0.2500_gauss_0.5000_hp_0.0100.sac
0.25 0.5 0.02 testRun_wl_0.2500_gauss_0.5000_hp_0.0200.sac
0.25 0.5 0.03 testRun_wl_0.2500_gauss_0.5000_hp_0.0300.sac
0.25 0.5 0.05 testRun_wl_0.2500_gauss_0.5000_hp_0.0500.sac
0.25 0.5 0.1 testRun_wl_0.2500_gauss_0.5000_hp_0.1000.sac
0.25 0.5 0.15 testRun_wl_0.2500_gauss_0.5000_hp_0.1500.sac
0.25 1 0.001 testRun_wl_0.2500_gauss_1.0000_hp_0.0010.sac
0.25 1 0.005 testRun_wl_0.2500_gauss_1.0000_hp_0.0050.sac
0.25 1 0.01 testRun_wl_0.2500_gauss_1.0000_hp_0.0100.sac
0.25 1 0.02 testRun_wl_0.2500_gauss_1.0000_hp_0.0200.sac
0.25 1 0.03 testRun_wl_0.2500_gauss_1.0000_hp_0.0300.sac
0.25 1 0.05 testRun_wl_0.2500_gauss_1.0000_hp_0.0500.sac
0.25 1 0.1 testRun_wl_0.2500_gauss_1.0000_hp_0.1000.sac
0.25 1 0.15 testRun_wl_0.2500_gauss_1.0000_hp_0.1500.sac
0.25 2 0.001 testRun_wl_0.2500_gauss_2.0000_hp_0.0010.sac
0.25 2 0.005 testRun_wl_0.2500_gauss_2.0000_hp_0.0050.sac
0.25 2 0.01 testRun_wl_0.2500_gauss_2.0000_hp_0.0100.sac
0.25 2 0.02 testRun_wl_0.2500_gauss_2.0000_hp_0.0200.sac
0.25 2 0.03 testRun_wl_0.2500_gauss_2.0000_hp_0.0300.sac
0.25 2 0.05 testRun_wl_0.2500_gauss_2.0000_hp_0.0500.sac
0.25 2 0.1 testRun_wl_0.2500_gauss_2.0000_hp_0.1000.sac
0.25 2 0.15 testRun_wl_0.2500_gauss_2.0000_hp_0.1500.sac
0.25 3 0.001 testRun_wl_0.2500_gauss_3.0000_hp_0.0010.sac
0.25 3 0.005 testRun_wl_0.2500_gauss_3.0000_hp_0.0050.sac
0.25 3 0.01 testRun_wl_0.2500_gauss_3.0000_hp_0.0100.sac
0.25 3 0.02 testRun_wl_0.2500_gauss_3.0000_hp_0.0200.sac
0.25 3 0.03 testRun_wl_0.2500_gauss_3.0000_hp_0.0300.sac
0.25 3 0.05 testRun_wl_0.2500_gauss_3.0000_hp_0.0500.sac
0.25 3 0.1 testRun_wl_0.2500_gauss_3.0000_hp_0.1000.sac
0.25 3 0.15 testRun_wl_0.2500_gauss_3.0000_hp_0.1500.sac
0.25 4 0.001 testRun_wl_0.2500_gauss_4.0000_hp_0.0010.sac
0.25 4 0.005 testRun_wl_0.2500_gauss_4.0000_hp_0.0050.sac
0.25 4 0.01 testRun_wl_0.2500_gauss_4.0000_hp_0.0100.sac
0.25 4 0.02 testRun_wl_0.2500_gauss_4.0000_hp_0.0200.sac
0.25 4 0.03 testRun_wl_0.2500_gauss_4.0000_hp_0.0300.sac
0.25 4 0.05 testRun_wl_0.2500_gauss_4.0000_hp_0.0500.sac
0.25 4 0.1 testRun_wl_0.2500_gauss_4.0000_hp_0.1000.sac
0.25 4 0.15 testRun_wl_0.2500_gauss_4.0000_hp_0.1500.sac
0.25 5 0.001 testRun_wl_0.2500_gauss_5.0000_hp_0.0010.sac
0.25 5 0.005 testRun_wl_0.2500_gauss_5.0000_hp_0.0050.sac
0.25 5 0.01 testRun_wl_0.2500_gauss_5.0000_hp_0.0100.sac
0.25 5 0.02 testRun_wl_0.2500_gauss_5.0000_hp_0.0200.sac
0.25 5 0.03 testRun_wl_0.2500_gauss_5.0000_hp_0.0300.sac
0.25 5 0.05 testRun_wl_0.2500_gauss_5.0000_hp_0.0500.sac
0.25 5 0.1 testRun_wl_0.2500_gauss_5.0000_hp_0.1000.sac
0.25 5 0.15 testRun_wl_0.2500_gauss_5.0000_hp_0.1500.sac
0.5 0.05 0.001 testRun_wl_0.5000_gauss_0.0500_hp_0.0010.sac
0.5 0.05 0.005 testRun_wl_0.5000_gauss_0.0500_hp_0.0050.sac
0.5 0.05 0.01 testRun_wl_0.5000_gauss_0.0500_hp_0.0100.sac
0.5 0.05 0.02 testRun_wl_0.5000_gauss_0.0500_hp_0.0200.sac
0.5 0.05 0.03 testRun_wl_0.5000_gauss_0.0500_hp_0.0300.sac
0.5 0.05 0.05 testRun_wl_0.5000_gauss_0.0500_hp_0.0500.sac
0.5 0.05 0.1 testRun_wl_0.5000_gauss_0.0500_hp_0.1000.sac
0.5 0.05 0.15 testRun_wl_0.5000_gauss_0.0500_hp_0.1500.sac
0.5 0.1 0.001 testRun_wl_0.5000_gauss_0.1000_hp_0.0010.sac
0.5 0.1 0.005 testRun_wl_0.5000_gauss_0.1000_hp_0.0050.sac
0.5 0.1 0.01 testRun_wl_0.5000_gauss_0.1000_hp_0.0100.sac
0.5 0.1 0.02 testRun_wl_0.5000_gauss_0.1000_hp_0.0200.sac
0.5 0.1 0.03 testRun_wl_0.5000_gauss_0.1000_hp_0.0300.sac
0.5 0.1 0.05 testRun_wl_0.5000_gauss_0.1000_hp_0.0500.sac
0.5 0.1 0.1 testRun_wl_0.5000_gauss_0.1000_hp_0.1000.sac
0.5 0.1 0.15 testRun_wl_0.5000_gauss_0.1000_hp_0.1500.sac
0.5 0.2 0.001 testRun_wl_0.5000_gauss_0.2000_hp_0.0010.sac
0.5 0.2 0.005 testRun_wl_0.5000_gauss_0.2000_hp_0.0050.sac
0.5 0.2 0.01 testRun_wl_0.5000_gauss_0.2000_hp_0.0100.sac
0.5 0.2 0.02 testRun_wl_0.5000_gauss_0.2000_hp_0.0200.sac
0.5 0.2 0.03 testRun_wl_0.5000_gauss_0.2000_hp_0.0300.sac
0.5 0.2 0.05 testRun_wl_0.5000_gauss_0.2000_hp_0.0500.sac
0.5 0.2 0.1 testRun_wl_0.5000_gauss_0.2000_hp_0.1000.sac
0.5 0.2 0.15 testRun_wl_0.5000_gauss_0.2000_hp_0.1500.sac
0.5 0.35 0.001 testRun_wl_0.5000_gauss_0.3500_hp_0.0010.sac
0.5 0.35 0.005 testRun_wl_0.5000_gauss_0.3500_hp_0.0050.sac
0.5 0.35 0.01 testRun_wl_0.5000_gauss_0.3500_hp_0.0100.sac
0.5 0.35 0.02 testRun_wl_0.5000_gauss_0.3500_hp_0.0200.sac
0.5 0.35 0.03 testRun_wl_0.5000_gauss_0.3500_hp_0.0300.sac
0.5 0.35 0.05 testRun_wl_0.5000_gauss_0.3500_hp_0.0500.sac
0.5 0.35 0.1 testRun_wl_0.5000_gauss_0.3500_hp_0.1000.sac
0.5 0.35 0.15 testRun_wl_0.5000_gauss_0.3500_hp_0.1500.sac
0.5 0.5 0.001 testRun_wl_0.5000_gauss_0.5000_hp_0.0010.sac
0.5 0.5 0.005 testRun_wl_0.5000_gauss_0.5000_hp_0.0050.sac
0.5 0.5 0.01 testRun_wl_0.5000_gauss_0.5000_hp_0.0100.sac
0.5 0.5 0.02 testRun_wl_0.5000_gauss_0.5000_hp_0.0200.sac
0.5 0.5 0.03 testRun_wl_0.5000_gauss_0.5000_hp_0.0300.sac
0.5 0.5 0.05 testRun_wl_0.5000_gauss_0.5000_hp_0.0500.sac
0.5 0.5 0.1 testRun_wl_0.5000_gauss_0.5000_hp_0.1000.sac
0.5 0.5 0.15 testRun_wl_0.5000_gauss_0.5000_hp_0.1500.sac
0.5 1 0.001 testRun_wl_0.5000_gauss_1.0000_hp_0.0010.sac
0.5 1 0.005 testRun_wl_0.5000_gauss_1.0000_hp_0.0050.sac
0.5 1 0.01 testRun_wl_0.5000_gauss_1.0000_hp_0.0100.sac
0.5 1 0.02 testRun_wl_0.5000_gauss_1.0000_hp_0.0200.sac
0.5 1 0.03 testRun_wl_0.5000_gauss_1.0000_hp_0.0300.sac
0.5 1 0.05 testRun_wl_0.5000_gauss_1.0000_hp_0.0500.sac
0.5 1 0.1 testRun_wl_0.5000_gauss_1.0000_hp_0.1000.sac
0.5 1 0.15 testRun_wl_0.5000_gauss_1.0000_hp_0.1500.sac
0.5 2 0.001 testRun_wl_0.5000_gauss_2.0000_hp_0.0010.sac
0.5 2 0.005 testRun_wl_0.5000_gauss_2.0000_hp_0.0050.sac
0.5 2 0.01 testRun_wl_0.5000_gauss_2.0000_hp_0.0100.sac
0.5 2 0.02 testRun_wl_0.5000_gauss_2.0000_hp_0.0200.sac
0.5 2 0.03 testRun_wl_0.5000_gauss_2.0000_hp_0.0300.sac
0.5 2 0.05 testRun_wl_0.5000_gauss_2.0000_hp_0.0500.sac
0.5 2 0.1 testRun_wl_0.5000_gauss_2.0000_hp_0.1000.sac
0.5 2 0.15 testRun_wl_0.5000_gauss_2.0000_hp_0.1500.sac
0.5 3 0.001 testRun_wl_0.5000_gauss_3.0000_hp_0.0010.sac
0.5 3 0.005 testRun_wl_0.5000_gauss_3.0000_hp_0.0050.sac
0.5 3 0.01 testRun_wl_0.5000_gauss_3.0000_hp_0.0100.sac
0.5 3 0.02 testRun_wl_0.5000_gauss_3.0000_hp_0.0200.sac
0.5 3 0.03 testRun_wl_0.5000_gauss_3.0000_hp_0.0300.sac
0.5 3 0.05 testRun_wl_0.5000_gauss_3.0000_hp_0.0500.sac
0.5 3 0.1 testRun_wl_0.5000_gauss_3.0000_hp_0.1000.sac
0.5 3 0.15 testRun_wl_0.5000_gauss_3.0000_hp_0.1500.sac
0.5 4 0.001 testRun_wl_0.5000_gauss_4.0000_hp_0.0010.sac
0.5 4 0.005 testRun_wl_0.5000_gauss_4.0000_hp_0.0050.sac
0.5 4 0.01 testRun_wl_0.5000_gauss_4.0000_hp_0.0100.sac
0.5 4 0.02 testRun_wl_0.5000_gauss_4.0000_hp_0.0200.sac
0.5 4 0.03 testRun_wl_0.5000_gauss_4.0000_hp_0.0300.sac
0.5 4 0.05 testRun_wl_0.5000_gauss_4.0000_hp_0.0500.sac
0.5 4 0.1 testRun_wl_0.5000_gauss_4.0000_hp_0.1000.sac
0.5 4 0.15 testRun_wl_0.5000_gauss_4.0000_hp_0.1500.sac
0.5 5 0.001 testRun_wl_0.5000_gauss_5.0000_hp_0.0010.sac
0.5 5 0.005 testRun_wl_0.5000_gauss_5.0000_hp_0.0050.sac
0.5 5 0.01 testRun_wl_0.5000_gauss_5.0000_hp_0.0100.sac
0.5 5 0.02 testRun_wl_0.5000_gauss_5.0000_hp_0.0200.sac
0.5 5 0.03 testRun_wl_0.5000_gauss_5.0000_hp_0.0300.sac
0.5 5 0.05 testRun_wl_0.5000_gauss_5.0000_hp_0.0500.sac
0.5 5 0.1 testRun_wl_0.5000_gauss_5.0000_hp_0.1000.sac
0.5 5 0.15 testRun_wl_0.5000_gauss_5.0000_hp_0.1500.sac
